type,game_name,league_name,matches_count,match_name,num
game,CS:GO,0,0,0,1
game,Call of Duty,0,0,0,2
game,Dota 2,0,0,0,3
game,League of Legends,0,0,0,4
game,Overwatch,0,0,0,5
game,Quake Champions,0,0,0,6
game,Rainbow Six,0,0,0,7
game,StarCraft II,0,0,0,8
game,Valorant,0,0,0,9
game,WarCraft III,0,0,0,10
league,CS:GO,Alpha Pro League 2021,1 матч,0,1
match,CS:GO,Alpha Pro League 2021,0,Wygers Argentina-River Plate Gaming | 23.07 1:00,0
league,CS:GO,CBCS Elite League Season 2,6 матчей,0,2
match,CS:GO,CBCS Elite League Season 2,0,Havan Liberty-KG Network | 21.07 23:20,0
match,CS:GO,CBCS Elite League Season 2,0,MiBR-Keyd Stars | 21.07 23:20,0
match,CS:GO,CBCS Elite League Season 2,0,INTZ eSports-SWS Gaming | 22.07 0:30,0
match,CS:GO,CBCS Elite League Season 2,0,Meta Gaming-Black Dragons | 22.07 1:40,0
match,CS:GO,CBCS Elite League Season 2,0,Bravos-Furious | 22.07 2:50,0
match,CS:GO,CBCS Elite League Season 2,0,Santos-DETONA | 22.07 2:50,0
league,CS:GO,ESEA Season 37 Intermediate Division Europe,1 матч,0,3
match,CS:GO,ESEA Season 37 Intermediate Division Europe,0,Endangered Esports-AVE | 18.07 19:00,0
league,CS:GO,Elite Series Season 1: Summer Split,2 матча,0,4
match,CS:GO,Elite Series Season 1: Summer Split,0,LowLandLions-Sector One | 22.07 20:00,0
match,CS:GO,Elite Series Season 1: Summer Split,0,mCon Esports Rotterdam-JoinTheForce | 22.07 22:00,0
league,CS:GO,Esport Adria Prvenstvo Season 5,1 матч,0,5
match,CS:GO,Esport Adria Prvenstvo Season 5,0,Anlaki-Monarchy | 18.07 11:00,0
league,CS:GO,European Development Championship Season 5: Closed Qualifier,2 матча,0,6
match,CS:GO,European Development Championship Season 5: Closed Qualifier,0,Team Finest-Infinite Gaming | 18.07 14:00,0
match,CS:GO,European Development Championship Season 5: Closed Qualifier,0,PACT-bankaPEPSI | 18.07 17:00,0
league,CS:GO,Gamers Club Liga Serie A,1 матч,0,7
match,CS:GO,Gamers Club Liga Serie A,0,Bravos-Paqueta | 18.07 3:00,0
league,CS:GO,IEM Cologne,1 матч,0,8
match,CS:GO,IEM Cologne,0,G2 Esports-Natus Vincere | 18.07 17:00,0
league,CS:GO,LPL Pro League,4 матча,0,9
match,CS:GO,LPL Pro League,0,Animal Squad-Fury Gaming | 20.07 11:00,0
match,CS:GO,LPL Pro League,0,Bizarre-Warriors | 20.07 13:30,0
match,CS:GO,LPL Pro League,0,Dire Wolves-Paradox | 21.07 11:00,0
match,CS:GO,LPL Pro League,0,Rooster-Chiefs Esports Club | 21.07 13:30,0
league,CS:GO,LVP Unity League Argentina Clausura,6 матчей,0,10
match,CS:GO,LVP Unity League Argentina Clausura,0,Leviatan Esports-Boca Juniors Gaming | 20.07 0:00,0
match,CS:GO,LVP Unity League Argentina Clausura,0,WAP-New Pampas | 20.07 1:15,0
match,CS:GO,LVP Unity League Argentina Clausura,0,Stone Movistar-Flow Nocturns Gaming | 20.07 2:30,0
match,CS:GO,LVP Unity League Argentina Clausura,0,Wygers Argentina-9z Academy | 21.07 0:00,0
match,CS:GO,LVP Unity League Argentina Clausura,0,Atrapa2 Gaming-Malvinas | 21.07 1:15,0
match,CS:GO,LVP Unity League Argentina Clausura,0,River Plate Gaming-Furious | 21.07 3:45,0
league,CS:GO,La Liga Season 4: Sur Pro Division - Apertura,1 матч,0,11
match,CS:GO,La Liga Season 4: Sur Pro Division - Apertura,0,Coscu Army-Wygers Argentina | 18.07 3:30,0
league,CS:GO,Mythic Summer Cup 2021,2 матча,0,12
match,CS:GO,Mythic Summer Cup 2021,0,Party Astronauts-Recon 5 | 18.07 2:30,0
match,CS:GO,Mythic Summer Cup 2021,0,Triumph-RBG | 18.07 2:30,0
league,CS:GO,Prime League Summer 2021,1 матч,0,13
match,CS:GO,Prime League Summer 2021,0,Foxed Gaming-SAWO | 21.07 19:00,0
league,CS:GO,Redragon Latam Series 2021: Southern Cone,2 матча,0,14
match,CS:GO,Redragon Latam Series 2021: Southern Cone,0,River Plate Gaming-Stone Movistar | 24.07 1:10,0
match,CS:GO,Redragon Latam Series 2021: Southern Cone,0,Durany-Furious | 24.07 4:00,0
league,CS:GO,WePlay Academy League,19 матчей,0,15
match,CS:GO,WePlay Academy League,0,VP.Prodigy-Young Ninjas | 19.07 19:00,0
match,CS:GO,WePlay Academy League,0,Natus Vincere Junior-BIG Academy | 19.07 20:00,0
match,CS:GO,WePlay Academy League,0,Astralis Talent-FURIA Academy | 19.07 21:00,0
match,CS:GO,WePlay Academy League,0,mouz NXT-Fnatic Rising | 19.07 22:00,0
match,CS:GO,WePlay Academy League,0,FURIA Academy-mouz NXT | 20.07 19:00,0
match,CS:GO,WePlay Academy League,0,Fnatic Rising-VP.Prodigy | 20.07 20:00,0
match,CS:GO,WePlay Academy League,0,BIG Academy-Astralis Talent | 20.07 21:00,0
match,CS:GO,WePlay Academy League,0,Young Ninjas-Natus Vincere Junior | 20.07 22:00,0
match,CS:GO,WePlay Academy League,0,mouz NXT-BIG Academy | 21.07 19:00,0
match,CS:GO,WePlay Academy League,0,Astralis Talent-Young Ninjas | 21.07 20:00,0
match,CS:GO,WePlay Academy League,0,Fnatic Rising-FURIA Academy | 21.07 21:00,0
match,CS:GO,WePlay Academy League,0,VP.Prodigy-Natus Vincere Junior | 21.07 21:00,0
match,CS:GO,WePlay Academy League,0,Natus Vincere Junior-Astralis Talent | 22.07 19:00,0
match,CS:GO,WePlay Academy League,0,Young Ninjas-mouz NXT | 22.07 21:00,0
match,CS:GO,WePlay Academy League,0,FURIA Academy-VP.Prodigy | 22.07 22:00,0
match,CS:GO,WePlay Academy League,0,FURIA Academy-BIG Academy | Время пока еще неизвестно,0
match,CS:GO,WePlay Academy League,0,mouz NXT-Natus Vincere Junior | Время пока еще неизвестно,0
match,CS:GO,WePlay Academy League,0,VP.Prodigy-Astralis Talent | Время пока еще неизвестно,0
match,CS:GO,WePlay Academy League,0,mouz NXT-Astralis Talent | Время пока еще неизвестно,0
league,Call of Duty,CDL,3 матча,0,1
match,Call of Duty,CDL,0,Paris Legion-Los Angeles Thieves | 18.07 22:00,0
match,Call of Duty,CDL,0,OpTic Chicago-Atlanta FaZe | 18.07 23:30,0
